Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,has_analysis,uses_genai,patterns
RUYAN,https://ruyan.com.tr,,,,,2026-01-01,,"AI-powered SaaS and mobile applications focused on intelligent digital products, data-driven platforms and subscription-based systems",https://ruyan.com.tr,,"Artificial intelligence, SaaS","Izmir, Turkey, Asia",,true,true,
WhichNotes,https://whichnotes.io,,,,,2026-01-01,,AI assistant that turns scattered notes into a connected knowledge graph,https://whichnotes.io,,"Artificial intelligence, SaaS","Ankara, Turkey, Asia",,true,true,
MediSense AI,https://medisense-ai.com,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Early cancer detection with AI-powered medical imaging analysis,https://medisense-ai.com,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Donna.ai,,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Artificial intelligence-based legal education and professional assistance platform,,1,"Legaltech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
EndoRobotics,,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Digital patient monitoring application for urinary tract stone disease solution,,1,"Robotics, Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Feelio.ai,https://feelio.ai,,,,,2026-01-01,,Turn feelings into visuals,https://feelio.ai,,Artificial intelligence,"Ankara, Turkey, Asia",,true,true,
ChainFlow,https://chainflow.site,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,AI-powered platform that digitally approves and signs documents,https://chainflow.site,1,"Blockchain, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Ashera AI,https://ashera.net,,,,,2026-01-01,,Provides scalable AI infrastructure,https://ashera.net,,Artificial intelligence,"Istanbul, Turkey, Asia",,true,true,
SetteTech,https://settetech.com,,,,,2025-01-01,,"Artificial intelligence, mobile app development, and enterprise web solutions",https://settetech.com,,"Agency, Artificial intelligence","Manisa, Turkey, Asia",,true,true,
Fal Agent,https://falagent.com,,,,,2025-01-01,,Platform for building and deploying AI agents,https://falagent.com,,"Big data, Artificial intelligence","Düzce, Turkey, Asia",,true,true,
Orvion,https://orvion.com.tr,,,,,2025-01-01,,Artificial intelligence-powered energy management platform,https://orvion.com.tr,,"Energy, Artificial intelligence","Manisa, Turkey, Asia",,true,true,
Patentiv,https://www.patentiv.com,,,,,2025-01-01,,AI operating system for end-to-end patent commercialization,https://www.patentiv.com,,"Legaltech, Artificial intelligence","Berlin, Germany, Asia",,true,true,
Harmona AI,https://harmona.ai,,,,,2025-01-01,,"Artificial intelligence platform that analyzes company data, automates workflows, and deploys internal and hybrid agents",https://harmona.ai,,Artificial intelligence,"Istanbul, Turkey, Asia",,true,true,
InsightTech,https://www.insighttech.com.tr,,,,,2025-01-01,,"Software development, mobile application development, and AI technologies",https://www.insighttech.com.tr,,"Agency, Artificial intelligence","Manisa, Turkey, Asia",,true,true,
Cloudone,https://cloudoneai.ai,,,,,2025-01-01,,AI venture studio,https://cloudoneai.ai,,"Foodtech, Retailtech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
VidRush,https://www.vidrush.ai,,,,,2025-01-01,,AI-based video production platform,https://www.vidrush.ai,,"Video, Artificial intelligence","Dubai, UAE, Asia",,true,true,
Zera Teknoloji,https://www.zerateknoloji.com.tr,,,,,2025-01-01,,"Custom machine manufacturing, machine automation, image processing and artificial intelligence-based solutions",https://www.zerateknoloji.com.tr,,"Image process, Mechatronics, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Umaya,https://umaya.com.tr,,,,,2025-01-01,,Smart legal assistant and unparalleled decision search engine,https://umaya.com.tr,,"Legaltech, Search engine, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
